,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
160,去年,きょねん,last year (colloquial),Noun,私は去年フランスへ行った。,わたし は きょねん フランス へ いった。,I went to France last year.
161,引く,ひく,"draw, pull",Verb,このドアは引いてください。,この ドア は ひいて ください。,Please pull this door open.
162,図書館,としょかん,library,Noun,図書館で料理の本を借りた。,としょかん で りょうり の ほん を かりた。,I borrowed a cookbook from the library.
163,上げる,あげる,"raise, lift",Verb,彼は荷物をあみだなに上げた。,かれ は にもつ を あみだな に あげた。,He put the luggage on the rack.
164,緑,みどり,"green color, greenery",Noun,この町には緑がたくさんあります。,この まち に は みどり が たくさん あります。,There's a lot of greenery in this town.
165,腕,うで,arm,Noun,彼の腕は太い。,かれ の うで は ふとい。,He has big arms.
166,ドア,,door (loan word),Noun,ドアを開けてください。,ドア を あけて ください。,Please open the door.
167,女の子,おんなのこ,little girl,Noun,あの女の子を知っていますか。,あの おんなのこ を しって います か。,Do you know that little girl?
168,男の子,おとこのこ,boy,Noun,男の子たちがサッカーをしている。,おとこのこ たち が サッカー を して いる。,The boys are playing soccer.
169,私たち,わたしたち,we (colloquial),Pronoun,私たちは来月結婚します。,わたし たち は らいげつ けっこん します。,We will get married next month.
170,近く,ちかく,"near, close to",Noun,駅の近くで食事をした。,えき の ちかく で しょくじ を した。,I ate near the station.
171,やる,,"do, give",Verb,一緒に宿題をやろう。,いっしょ に しゅくだい を やろう。,Let's do our homework together.
172,かなり,,"fairly, rather",Adverb,彼はかなり英語が上手です。,かれ は かなり えいご が じょうず です。,His English is pretty good.
173,国,くに,country,Noun,私の国について少しお話しましょう。,わたし の くに について すこし おはなし しましょう。,Let me tell you a bit about my country.
174,起こる,おこる,happen,Verb,町で大事件が起こりました。,まち で だいじけん が おこりました。,There was a major incident in town.
175,秋,あき,"autumn, fall",Noun,彼女は秋に結婚します。,かのじょ は あき に けっこん します。,She'll get married this fall.
176,送る,おくる,send,Verb,彼の家に荷物を送りました。,かれ の いえ に にもつ を おくりました。,I sent a package to his house.
177,死ぬ,しぬ,die,Verb,犬が病気で死にました。,いぬ が びょうき で しにました。,Our dog died of disease.
178,気持ち,きもち,"feeling, sensation",Noun,彼の気持ちが分からない。,かれ の きもち が わからない。,I don't know how he feels about me.
179,乗る,のる,"ride, take",Verb,駅からはタクシーに乗ってください。,えき から は タクシー に のって ください。,Please take a taxi from the station.
180,いる,,"be present, stay",Verb,今日は一日中家にいました。,きょう は いちにち じゅう うち に いました。,I was at home all day today.
181,木,き,"tree, wood",Noun,台風で木が倒れた。,たいふう で き が たおれた。,A tree fell down in the typhoon.
182,開ける,あける,"open, unlock (doors, windows, etc.)",Verb,窓を開けてください。,まど を あけて ください。,Please open the window.
183,閉める,しめる,"shut, close (doors, windows, etc.)",Verb,ちゃんとドアを閉めてよ。,ちゃんと ドア を しめて よ。,Close the door properly.
184,続く,つづく,"continue, follow",Verb,工事は3月まで続きます。,こうじ は 3 がつ まで つづきます。,Construction will continue until March.
185,お医者さん,おいしゃさん,doctor (polite),Noun,熱があるのでお医者さんに行った。,ねつ が ある ので おいしゃさん に いった。,I went to the doctor because I had a fever.
186,円,えん,Japanese yen,Noun,カレーライスは700円です。,カレーライス は 700 えん です。,The curry and rice is 700 yen.
187,ここ,,here,Pronoun,ここに本があります。,ここ に ほん が あります。,There's a book here.
188,待つ,まつ,"wait, wait for",Verb,あなたが来るのを待っています。,あなた が くる の を まって います。,I am waiting for you to come.
189,低い,ひくい,"low, short",Adjective,彼は背が低い。,かれ は せ が ひくい。,He's short.
190,もらう,,"receive, get (something from someone)",Verb,彼女からプレゼントをもらいました。,かのじょ から プレゼント を もらいました。,I got a present from her.
191,食べる,たべる,eat,Verb,昨日タイカレーを食べました。,きのう タイ カレー を たべました。,I had Thai curry yesterday.
192,兄,あに,(one's own) older brother,Noun,兄は水泳が得意です。,あに は すいえい が とくい です。,My big brother is good at swimming.
193,名前,なまえ,name,Noun,あなたの名前を教えてください。,あなた の なまえ を おしえて ください。,Please tell me your name.
194,夫,おっと,husband,Noun,私の夫はサラリーマンです。,わたし の おっと は サラリーマン です。,My husband is a company employee.
195,一,いち,one,Noun,一から始めましょう。,いち から はじめましょう。,Let's start from scratch.
196,結婚,けっこん,marriage,Verbal Noun,彼女は来月結婚します。,かのじょ は らいげつ けっこん します。,She's getting married next month.
197,親,おや,parent,Noun,親の愛はありがたい。,おや の あい は ありがたい。,Parental love should be appreciated.
198,話す,はなす,"speak, talk",Verb,母と電話で話しました。,はは と でんわ で はなしました。,I spoke to my mother on the phone.
199,少し,すこし,"a bit, a little while",Adverb,少し疲れました。,すこし つかれました。,I'm a little tired.
200,閉じる,とじる,"shut, close (books, eyes, etc.)",Verb,教科書を閉じてください。,きょうかしょ を とじて ください。,Please close your textbook.
201,時,とき,"time, moment",Noun,時の経つのは早い。,とき の たつ の は はやい。,Time flies.
202,米,こめ,rice (grain),Noun,日本人はお米が大好きです。,にほん じん は おこめ が だいすき です。,Japanese people love rice.
203,切る,きる,cut,Verb,この紙を半分に切ってください。,この かみ を はんぶん に きって ください。,Please cut this paper in half.
204,楽しい,たのしい,"fun, enjoyable",Adjective,彼はとても楽しい人です。,かれ は とても たのしい ひと です。,He's a very fun person.
205,服,ふく,clothes (colloquial),Noun,昨日、新しい服を買った。,きのう、あたらしい ふく を かった。,I bought some new clothes yesterday.
206,後ろ,うしろ,"back, behind",Noun,後ろを向いて。,うしろ を むいて。,Turn around.
207,嬉しい,うれしい,"happy, glad",Adjective,彼に会えて嬉しかった。,かれ に あえて うれしかった。,I was glad to meet him.
208,腰,こし,"waist, lower back",Noun,昨日から腰が痛い。,きのう から こし が いたい。,I've had a pain in my lower back since yesterday.
209,日曜日,にちようび,Sunday,Noun,日曜日は海に行きました。,にちようび は うみ に いきました。,We went to the beach on Sunday.
210,昼,ひる,"daytime, midday",Noun,私は昼のドラマを毎日見ます。,わたし は ひる の ドラマ を まいにち みます。,I watch daytime dramas every day.
211,お母さん,おかあさん,"mother, mom (colloquial)",Noun,お母さんによろしくお伝えください。,おかあさん に よろしく おつたえ ください。,Please say hello to your mother.
212,大学生,だいがくせい,university student,Noun,姉は大学生です。,あね は だいがくせい です。,My big sister's a college student.
213,終わり,おわり,"end, finish",Noun,夏休みももう終わりだ。,なつやすみ も もう おわり だ。,Summer vacation's already over.
214,背,せ,"height, stature",Noun,彼女は背が高い。,かのじょ は せ が たかい。,She's tall.
215,手伝う,てつだう,"help, assist",Verb,私が手伝いましょう。,わたし が てつだいましょう。,I can help you.
216,鼻,はな,nose,Noun,鼻がかゆいです。,はな が かゆい です。,My nose is itchy.
217,起きる,おきる,"occur, happen",Verb,近所で盗難事件が起きました。,きんじょ で とうなん じけん が おきました。,A burglary occured in my neighborhood.
218,載せる,のせる,"place, put on",Verb,皿にケーキを載せました。,さら に ケーキ を のせました。,I put the cake on a plate.
219,悲しい,かなしい,sad,Adjective,その映画はとても悲しかった。,その えいが は とても かなしかった。,It was a very sad movie.
220,しゃべる,,"chat, talk",Verb,彼女はよくしゃべるね。,かのじょ は よく しゃべる ね。,She talks a lot.
221,近く,ちかく,"in the near future, before long",Adverb,近く、留学する予定です。,ちかく 、 りゅうがく する よてい です。,I'm planning to study abroad in the near future.
222,甘い,あまい,sweet,Adjective,このいちごは甘い。,この いちご は あまい。,This strawberry is sweet.
223,テーブル,,table,Noun,新しいテーブルを買いました。,あたらしい テーブル を かいました。,I bought a new table.
224,食べ物,たべもの,food (colloquial),Noun,日本の食べ物はとてもおいしいです。,にっぽん の たべもの は とても おいしい です。,Japanese food is very delicious.
225,始まる,はじまる,begin,Verb,新しい仕事が始まりました。,あたらしい しごと が はじまりました。,I started a new job.
226,ゲーム,,game (loan word),Noun,私たちはビデオゲームをした。,わたし たち は ビデオ ゲーム を した。,We played a video game.
227,十,じゅう,ten,Noun,その子は指で十数えました。,その こ は ゆび で じゅう かぞえました。,The child counted to ten on her fingers.
228,天気,てんき,weather,Noun,今日はいい天気ですね。,きょう は いい てんき です ね。,It's nice out today.
229,暑い,あつい,hot (of weather),Adjective,今日はとても暑い。,きょう は とても あつい。,It's very hot today.
230,太い,ふとい,"thick, fat",Adjective,彼女は足が太い。,かのじょ は あし が ふとい。,She has big legs.
231,晩,ばん,"evening, night (from sunset to bedtime)",Noun,彼は朝から晩まで働いたの。,かれ は あさ から ばん まで はたらいた の 。,He worked from morning till night.
232,土曜日,どようび,Saturday,Noun,土曜日の夜はクラブに行きます。,どようび の よる は クラブ に いきます。,I'm going to a club Saturday night.
233,痛い,いたい,"sore, painful",Adjective,今日は頭が痛いです。,きょう は あたま が いたい です。,I have a headache today.
234,お父さん,おとうさん,"father, dad (colloquial)",Noun,お父さんは会社員です。,おとうさん は かいしゃいん です。,My father's a company employee.
235,多分,たぶん,"probably, perhaps",Adverb,彼女は多分家で寝ています。,かのじょ は たぶん いえ で ねて います。,She's probably sleeping at home.
236,時計,とけい,"clock, watch",Noun,時計を見たらちょうど3時だった。,とけい を みたら ちょうど 3 じ だった。,It was exactly three when I looked at the clock.
237,泊まる,とまる,stay overnight,Verb,今日はこのホテルに泊まります。,きょう は この ホテル に とまります。,I'm staying at this hotel today.
