,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
1636,キャッシュカード,,cash card,Noun,キャッシュカードでお金を下ろした。,キャッシュカード で おかね を おろした。,I withdrew some money with my cash card.
1637,停留所,ていりゅうじょ,(bus) stop,Noun,バスの停留所で10分待ちました。,バス の ていりゅうじょ で 10 ぷん まちました。,I waited for ten minutes at the bus stop.
1638,床屋,とこや,"barber, barbershop",Noun,昨日床屋で髪を切った。,きのう とこや で かみ を きった。,Yesterday I had my hair cut at the barber's.
1639,歯磨き,はみがき,brushing one's teeth,Noun,歯磨きはしましたか。,はみがき は しました か。,Did you brush your teeth?
1640,夕飯,ゆうはん,"evening meal, dinner",Noun,夕飯は寿司でした。,ゆうはん は すし でした。,I had sushi for dinner.
1641,酔っ払い,よっぱらい,"drunkard, drunk",Noun,彼はただの酔っ払いです。,かれ は ただ の よっぱらい です。,He's just a drunkard.
1642,例,れい,example,Noun,一つ例を挙げてください。,ひとつ れい を あげて ください。,Please give an example.
1643,お辞儀,おじぎ,bow,Verbal Noun,皆、社長にお辞儀をした。,みな、しゃちょう に おじぎ を した。,Everyone bowed to the company president.
1644,横断歩道,おうだんほどう,"pedestrian crossing, crosswalk",Noun,あそこに横断歩道があります。,あそこ に おうだん ほどう が あります。,There's a crosswalk over there.
1645,ぐらぐら,,"shaky, unstable",Adverb,地震で家がぐらぐらと揺れた。,じしん で いえ が ぐらぐら と ゆれた。,The house shook because of the earthquake.
1646,航空便,こうくうびん,"airmail, airfreight",Noun,航空便で書類が届きました。,こうくうびん で しょるい が とどきました。,The document was delivered by airmail.
1647,ジャム,,jam,Noun,このいちごでジャムを作りましょう。,この いちご で ジャム を つくりましょう。,Let's make jam from these strawberries.
1648,スリッパ,,slippers,Noun,スリッパを履いてください。,スリッパ を はいて ください。,Please wear slippers.
1649,畳む,たたむ,"fold, shut, close",Verb,布団を畳んでください。,ふとん を たたんで ください。,Please fold up the futon.
1650,トランプ,,playing cards,Verbal Noun,友達とトランプをして遊びました。,ともだち と トランプ を して あそびました。,I played cards with my friends.
1651,日陰,ひかげ,shade of the sun,Noun,暑いので日陰で休みましょう。,あつい ので ひかげ で やすみましょう。,It's hot so let's take a rest in the shade of the sun.
1652,文房具,ぶんぼうぐ,"stationery, writing materials",Noun,新しい文房具を買いました。,あたらしい ぶんぼうぐ を かいました。,I bought some new stationery.
1653,免許証,めんきょしょう,license,Noun,免許証を見せてください。,めんきょしょう を みせて ください。,Please show me your license.
1654,訳す,やくす,translate,Verb,この文を訳してください。,この ぶん を やくして ください 。,Please translate this sentence.
1655,よろしい,,all right,Adjective,レポートはこれでよろしいですか。,レポート は これ で よろしい です か。,Is this report all right?
1656,両替,りょうがえ,money exchange,Verbal Noun,1万円を両替してください。,1 まん えん を りょうがえ して ください。,"I'd like to exchange 10,000 yen."
1657,片づく,かたづく,"be put in order, be finished",Verb,仕事がだいぶ片づいた。,しごと が だいぶ かたづいた。,I've finished quite a lot of my work.
1658,カップ,,cup,Noun,水を1カップ入れてください。,みず を 1 カップ いれて ください。,Please put in one cup of water.
1659,消しゴム,けしゴム,eraser,Noun,消しゴムを貸してください。,けしゴム を かして ください。,Can I borrow your eraser?
1660,スケート,,"skate, skates",Noun,湖でスケートをした。,みずうみ で スケート を した。,We went skating on the lake.
1661,鍋,なべ,pan,Noun,鍋にスープが入っているよ。,なべ に スープ が はいって いる よ。,There's some soup in the pan.
1662,寝坊,ねぼう,oversleeping,Verbal Noun,今朝は寝坊しました。,けさ は ねぼう しました。,I overslept this morning.
1663,鋏,はさみ,scissors,Noun,この鋏はよく切れる。,この はさみ は よく きれる。,These scissors cut well.
1664,真っ青,まっさお,"deep-blue, pale",Adjectival Noun,空が真っ青です。,そら が まっさお です。,The sky is deep blue.
1665,汚す,よごす,make (something) dirty,Verb,彼は服を汚した。,かれ は ふく を よごした。,He got his clothes dirty.
1666,忘れ物,わすれもの,"something left behind, lost item",Noun,学校に忘れ物をしました。,がっこう に わすれもの を しました。,I left something behind at school.
1667,掛け算,かけざん,multiplication,Verbal Noun,弟は掛け算を習っている。,おとうと は かけざん を ならって いる。,My little brother is learning multiplication.
1668,臭い,くさい,stinky,Adjective,納豆は臭い。,なっとう は くさい。,Natto stinks.
1669,突き当たり,つきあたり,end of a street,Noun,この先は突き当たりです。,この さき は つきあたり です。,You'll hit the end of the road.
1670,マフラー,,"scarf, muffler",Noun,彼女は首にマフラーをまいていた。,かのじょ は くび に マフラー を まいて いた。,She was wearing a scarf around her neck.
1671,桃,もも,peach,Noun,私の一番好きな果物は桃です。,わたし の いちばん すきな くだもの は もも です。,My favorite fruit is peach.
1672,アクセサリー,,"accessories, jewelry",Noun,このアクセサリーは素敵ね。,この アクセサリー は すてき ね。,This jewelry is lovely.
1673,あくび,,yawn,Noun,父があくびをした。,ちち が あくび を した。,My father yawned.
1674,あめ,,candy,Noun,缶にあめが入っています。,かん に あめ が はいって います。,There's some candy in the can.
1675,上り,のぼり,"going up, ascent",Noun,これは上り電車です。,これ は のぼり でんしゃ です。,This is the train going into the city area.
1676,なるべく,,"as...as possible, if possible",Adverb,なるべく早く仕事を終わらせてください。,なるべく はやく しごと を おわらせて ください。,Please finish your work as quickly as possible.
1677,じっと,,"without moving, still",Adverb,あの生徒はじっと先生の話を聞いていたね。,あの せいと は じっと せんせい の はなし を きいて いた ね。,The pupil was listening attentively to the teacher.
1678,食器,しょっき,tableware,Noun,食器を全部新しくしました。,しょっき を ぜんぶ あたらしく しました。,I bought new tableware and replaced the old one.
1679,延ばす,のばす,"extend, postpone",Verb,出発を一週間延ばしたの。,しゅっぱつ を いっ しゅうかん のばした の。,I postponed my departure for a week.
1680,薬局,やっきょく,"drugstore, pharmacy",Noun,薬局で目薬を買いました。,やっきょく で めぐすり を かいました。,I bought some eye drops at the drugstore.
1681,雄,おす,male (animal),Noun,うちの猫は雄です。,うち の ねこ は おす です。,Our cat is male.
1682,雌,めす,female (animal),Noun,この猫は雌です。,この ねこ は めす です。,This cat is female.
1683,和風,わふう,"Japanese-inspired, Japanese-style",Noun,夕食に和風パスタを作ったよ。,ゆうしょく に わふう パスタ を つくった よ。,I made Japanese-inspired pasta for dinner.
1684,いびき,,snoring,Noun,父のいびきは大きいんだ。,ちち の いびき は おおきい ん だ。,My father snores loudly.
1685,ピクニック,,picnic,Noun,今日はピクニックに行きましょう。,きょう は ピクニック に いきましょう。,Let's go on a picnic today.
